code;name;description;group;reference
;EMPTY_CODE;"";"";""
100;100_HTTP_CONTINUE;Continue;Informational - Request received, continuing process;[RFC9110, Section 15.2.1]
101;101_HTTP_SWITCHING_PROTOCOLS;Switching Protocols;Informational - Request received, continuing process;[RFC9110, Section 15.2.2]
102;102_HTTP_PROCESSING;This code indicates that the server has received and is processing the request but no response is available yet;Informational - Request received, continuing process;[RFC2518]
103;103_HTTP_EARLY_HINTS;This status code is primarily intended to be used with the Link header letting the user agent start preloading resources while the server prepares a response;Informational - Request received, continuing process;[RFC8297]
110;110_HTTP_RESPONSE_IS_STALE;Response is Stale;Informational - Request received, continuing process;[RFC7234, Section 5.5.1]
111;111_HTTP_REVALIDATION_FAILED;Revalidation Failed;Informational - Request received, continuing process;[RFC7234, Section 5.5.2]
112;112_DISCONNECTED_OPERATION;Disconnected Operation;Informational - Request received, continuing process;[RFC7234, Section 5.5.3]
113;113_HEURISTIC_EXPIRATION;Heuristic Expiration;Informational - Request received, continuing process;[RFC7234, Section 5.5.4]
199;199_MISCELLANEOUS_WARNING;Miscellaneous Warning;Informational - Request received, continuing process;[RFC7234, Section 5.5.5]
200;200_HTTP_OK;OK;Success - The action was successfully received, understood, and accepted;[RFC9110, Section 15.3.1]
201;201_HTTP_CREATED;Created;Success - The action was successfully received, understood, and accepted;[RFC9110, Section 15.3.2]
202;202_HTTP_ACCEPTED;Accepted;Success - The action was successfully received, understood, and accepted;[RFC9110, Section 15.3.3]
203;203_HTTP_NON_AUTHORITATIVE;Non-Authoritative Information;Success - The action was successfully received, understood, and accepted;[RFC9110, Section 15.3.4]
204;204_HTTP_NO_CONTENT;No Content;Success - The action was successfully received, understood, and accepted;[RFC9110, Section 15.3.5]
205;205_HTTP_RESET_CONTENT;Reset Content;Success - The action was successfully received, understood, and accepted;[RFC9110, Section 15.3.6]
206;206_HTTP_PARTIAL_CONTENT;Partial Content;Success - The action was successfully received, understood, and accepted;[RFC9110, Section 15.3.7]
207;206_HTTP_MULTI_STATUS;Conveys information about multiple resources, for situations where multiple status codes might be appropriate.;Success - The action was successfully received, understood, and accepted;[RFC4918]
208;208_HTTP_ALREADY_REPORTED;Used inside a <dav:propstat> response element to avoid repeatedly enumerating the internal members of multiple bindings to the same collection.;Success - The action was successfully received, understood, and accepted;[RFC5842]
